Date,Open,High,Low,Close,Adj Close,Volume,12,26,MACD
2018-05-10,9325.9599609375,9396.0400390625,9040.51953125,9043.9404296875,9043.9404296875,6906699776,9302.47884551116,9027.149420141082,275.32942537007693
2018-05-11,9052.9599609375,9052.9599609375,8394.4599609375,8441.490234375,8441.490234375,8488520192,9170.019059141028,8983.765443480044,186.253615660984
2018-05-12,8441.4404296875,8664.8603515625,8223.5,8504.8896484375,8504.8896484375,6821380096,9067.69145746721,8948.29178841804,119.39966904916946
2018-05-13,8515.490234375,8773.5498046875,8395.1201171875,8723.9404296875,8723.9404296875,5866379776,9014.80668395078,8931.672573246267,83.13411070451184
2018-05-14,8713.099609375,8881.1201171875,8367.9697265625,8716.7900390625,8716.7900390625,7364149760,8968.95796934388,8915.754819926753,53.20314941712786
2018-05-15,8705.1904296875,8836.1904296875,8456.4501953125,8510.3798828125,8510.3798828125,6705710080,8898.407494481571,8885.726123535555,12.681370946016614
2018-05-16,8504.41015625,8508.4296875,8175.490234375,8368.830078125,8368.830078125,6760220160,8816.934045800259,8847.436437517572,-30.502391717313003
2018-05-17,8370.0498046875,8445.5400390625,8054.1201171875,8094.31982421875,8094.31982421875,5862530048,8705.76262708263,8791.648551148663,-85.88592406603311
2018-05-18,8091.830078125,8274.1201171875,7974.81982421875,8250.9697265625,8250.9697265625,5764190208,8635.794488534266,8751.597290298336,-115.80280176406995
2018-05-19,8255.73046875,8372.0595703125,8183.35009765625,8247.1796875,8247.1796875,4712399872,8576.007596062535,8714.232178993192,-138.22458293065756
2018-05-20,8246.990234375,8562.41015625,8205.240234375,8513.25,8513.25,5191059968,8566.35258128301,8699.344298643697,-132.99171736068638
2018-05-21,8522.330078125,8557.51953125,8365.1201171875,8418.990234375,8418.990234375,5154990080,8543.681450988133,8678.576928544173,-134.89547755603962
2018-05-22,8419.8701171875,8423.25,8004.580078125,8041.77978515625,8041.77978515625,5137010176,8466.465810087071,8631.405923518523,-164.94011343145212
2018-05-23,8037.080078125,8054.66015625,7507.8798828125,7557.81982421875,7557.81982421875,6491120128,8326.674119947585,8551.879706242238,-225.20558629465268
2018-05-24,7561.1201171875,7738.60009765625,7331.14013671875,7587.33984375,7587.33984375,6049220096,8212.930385143896,8480.43121008484,-267.50082494094386
2018-05-25,7592.2998046875,7659.14013671875,7392.64990234375,7480.14013671875,7480.14013671875,4867829760,8100.193423844315,8406.33451977335,-306.14109592903606
2018-05-26,7486.47998046875,7595.16015625,7349.1201171875,7355.8798828125,7355.8798828125,4051539968,7985.683648298032,8328.522039104279,-342.83839080624693
2018-05-27,7362.080078125,7381.740234375,7270.9599609375,7368.22021484375,7368.22021484375,4056519936,7890.689273918395,8257.387702105721,-366.6984281873265
2018-05-28,7371.31005859375,7419.0498046875,7100.89013671875,7135.990234375,7135.990234375,5040600064,7774.5817293711325,8174.320283907941,-399.7385545368088
2018-05-29,7129.4599609375,7526.419921875,7090.68017578125,7472.58984375,7472.58984375,5662660096,7728.121439274854,8122.339707175084,-394.2182679002299
2018-05-30,7469.72998046875,7573.77001953125,7313.60009765625,7406.52001953125,7406.52001953125,4922540032,7678.644297775189,8069.3155126708425,-390.67121489565307
2018-05-31,7406.14990234375,7608.89990234375,7361.1298828125,7494.169921875,7494.169921875,5127130112,7650.263624559461,8026.711753225073,-376.4481286656119
2018-06-01,7500.7001953125,7604.72998046875,7407.33984375,7541.4501953125,7541.4501953125,4921460224,7633.523096982849,7990.766153939182,-357.243056956333
2018-06-02,7536.72021484375,7695.830078125,7497.259765625,7643.4501953125,7643.4501953125,4939299840,7635.05034287973,7965.038847940839,-329.9885050611092
2018-06-03,7632.08984375,7754.89013671875,7613.0400390625,7720.25,7720.25,4851760128,7648.157982436783,7946.906211503783,-298.74822906700047
2018-06-04,7722.52978515625,7753.81982421875,7474.0400390625,7514.47021484375,7514.47021484375,4993169920,7627.5906335762,7914.873704150348,-287.28307057414804
2018-06-05,7500.89990234375,7643.22998046875,7397.0,7633.759765625,7633.759765625,4961739776,7628.539730814481,7894.050322256981,-265.5105914425003
2018-06-06,7625.97021484375,7680.43017578125,7502.009765625,7653.97998046875,7653.97998046875,4692259840,7632.453615376692,7876.267233404255,-243.81361802756328
2018-06-07,7650.81982421875,7741.27001953125,7650.81982421875,7678.240234375,7678.240234375,4485799936,7639.497710607226,7861.598489995644,-222.10077938841823
2018-06-08,7685.14013671875,7698.18994140625,7558.39990234375,7624.919921875,7624.919921875,4227579904,7637.254973879185,7844.066659202818,-206.81168532363336
2018-06-09,7632.52001953125,7683.580078125,7531.97998046875,7531.97998046875,7531.97998046875,3845220096,7621.05882104677,7820.94902365784,-199.89020261106998
2018-06-10,7499.5498046875,7499.5498046875,6709.06982421875,6786.02001953125,6786.02001953125,5804839936,7492.591313121037,7744.28729726538,-251.69598414434313
2018-06-11,6799.2900390625,6910.18017578125,6706.6298828125,6906.919921875,6906.919921875,4745269760,7402.48802215995,7682.259845527805,-279.7718233678552
2018-06-12,6905.81982421875,6907.9599609375,6542.080078125,6582.35986328125,6582.35986328125,4654380032,7276.314459255346,7600.785482400749,-324.4710231454028
2018-06-13,6596.8798828125,6631.66015625,6285.6298828125,6349.89990234375,6349.89990234375,5052349952,7133.789142807228,7508.126985519304,-374.33784271207605
2018-06-14,6342.75,6707.14013671875,6334.4599609375,6675.35009765625,6675.35009765625,5138710016,7063.260058937771,7446.439620155657,-383.17956121788666
2018-06-15,6674.080078125,6681.080078125,6433.8701171875,6456.580078125,6456.580078125,3955389952,6969.9246772741835,7373.1164836739035,-403.19180639972
2018-06-16,6455.4501953125,6592.490234375,6402.2900390625,6550.16015625,6550.16015625,3194170112,6905.34552019349,7312.156596026846,-406.81107583335597
2018-06-17,6545.52978515625,6589.10986328125,6499.27001953125,6499.27001953125,6499.27001953125,3104019968,6842.872366245413,7251.942629494093,-409.07026324868
2018-06-18,6510.06982421875,6781.14013671875,6446.68017578125,6734.81982421875,6734.81982421875,4039200000,6826.2488982413015,7213.637150481468,-387.38825224016637
2018-06-19,6742.39013671875,6822.5,6709.919921875,6769.93994140625,6769.93994140625,4057029888,6817.585981805136,7180.770622203609,-363.18464039847277
2018-06-20,6770.759765625,6821.56005859375,6611.8798828125,6776.5498046875,6776.5498046875,3888640000,6811.272723787035,7150.82828177142,-339.5555579843849
2018-06-21,6780.08984375,6810.93994140625,6715.169921875,6729.740234375,6729.740234375,3529129984,6798.729263877487,7119.6365189467315,-320.90725506924446
2018-06-22,6737.8798828125,6747.080078125,6006.60009765625,6083.68994140625,6083.68994140625,5079810048,6688.723214266496,7042.899608749136,-354.1763944826398
2018-06-23,6090.10009765625,6224.81982421875,6071.81005859375,6162.47998046875,6162.47998046875,3431360000,6607.762716759131,6977.683240304154,-369.92052354502357
2018-06-24,6164.27978515625,6223.77978515625,5826.41015625,6173.22998046875,6173.22998046875,4566909952,6540.911526560598,6918.09402561047,-377.1824990498726
2018-06-25,6171.97021484375,6327.3701171875,6119.68017578125,6249.18017578125,6249.18017578125,5500810240,6496.0297802868445,6868.544786617459,-372.5150063306146
2018-06-26,6253.5498046875,6290.16015625,6093.669921875,6093.669921875,6093.669921875,3279759872,6434.12826360809,6811.1465788428,-377.0183152347108
2018-06-27,6084.39990234375,6180.0,6052.85009765625,6157.1298828125,6157.1298828125,3296219904,6391.51312810107,6762.700843226781,-371.1877151257113
2018-06-28,6153.16015625,6170.41015625,5873.0498046875,5903.43994140625,5903.43994140625,3467800064,6316.424945532629,6699.051821323945,-382.6268757913158
2018-06-29,5898.1298828125,6261.66015625,5835.75,6218.2998046875,6218.2998046875,3966230016,6301.328770017992,6663.4405265309615,-362.1117565129698
2018-06-30,6214.22021484375,6465.509765625,6214.22021484375,6404.0,6404.0,4543860224,6317.124343861378,6644.222692611132,-327.0983487497533
2018-07-01,6411.68017578125,6432.85009765625,6289.2900390625,6385.81982421875,6385.81982421875,4788259840,6327.692879300975,6625.08172359021,-297.38884428923484
2018-07-02,6380.3798828125,6683.85986328125,6305.7001953125,6614.18017578125,6614.18017578125,4396930048,6371.76784799025,6624.274200912829,-252.50635292257903
2018-07-03,6596.66015625,6671.3701171875,6447.75,6529.58984375,6529.58984375,4672309760,6396.048155030212,6617.26053986107,-221.21238483085835
2018-07-04,6550.8701171875,6771.919921875,6450.4599609375,6597.5498046875,6597.5498046875,4176689920,6427.048408823642,6615.800484446631,-188.75207562298965
2018-07-05,6599.7099609375,6749.5400390625,6546.64990234375,6639.14013671875,6639.14013671875,4999240192,6459.67790542289,6617.529348627303,-157.85144320441304
2018-07-06,6638.68994140625,6700.93994140625,6533.5498046875,6673.5,6673.5,4313959936,6492.5736122809085,6621.675325133213,-129.10171285230444
